"timestamp_utc","action","ticker","price_sar","shares","entry_price","pl_sar","purification_sar","balance_after_sar"
"2026-08-09T08:10:07","BUY","2222.SR","26.64","3.753754","26.64","","","100"
"2026-08-09T10:06:47","SELL","2222.SR","26.6","3.753754","26.64","-0.1501","0","99.8499"
"2026-08-09T11:49:56","BUY","2222.SR","26.62","3.750935","26.62","","","99.8499"
"2026-08-09T14:05:25","SELL","2222.SR","26.6","3.750935","26.62","-0.075","0","99.7749"
"2026-08-10T10:41:52","BUY","1010.SR","20.46","4.876584","20.46","","","99.7749"
"2026-08-10T14:40:12","SELL","1010.SR","20.37","4.876584","20.46","-0.4389","0","99.336"
"2026-08-11T09:36:39","BUY","2222.SR","26.82","3.703803","26.82","","","99.336"
"2026-08-11T12:01:51","SELL","2222.SR","26.68","3.703803","26.82","-0.5185","0","98.8175"
"2026-08-11T14:20:29","BUY","2280.SR","47.7","2.071646","47.7","","","98.8175"
"2026-08-12T08:50:15","SELL","2280.SR","47.6","2.071646","47.7","-0.2072","0","98.6103"
"2026-08-12T09:05:15","BUY","1180.SR","40.9","2.41101","40.9","","","98.6103"
"2026-08-12T09:15:20","SELL","1180.SR","40.86","2.41101","40.9","-0.0964","0","98.5139"
"2026-08-12T09:25:15","BUY","7010.SR","43.58","2.26053","43.58","","","98.5139"
"2026-08-12T10:55:12","SELL","7010.SR","43.54","2.26053","43.58","-0.0904","0","98.4235"
"2026-08-12T11:10:19","BUY","1010.SR","20.08","4.901569","20.08","","","98.4235"
"2026-08-12T12:30:27","SELL","1010.SR","20.05","4.901569","20.08","-0.1471","0","98.2764"
"2026-08-13T07:15:19","BUY","1010.SR","20.13","4.882087","20.13","","","98.2764"
"2026-08-13T11:25:15","SELL","1010.SR","20.26","4.882087","20.13","0.6347","0.0635","98.8476"
"2026-08-13T11:35:15","BUY","2222.SR","26.52","3.727285","26.52","","","98.8476"
"2026-08-13T11:40:20","SELL","2222.SR","26.52","3.727285","26.52","0","0","98.8476"
"2026-08-13T11:50:19","BUY","1010.SR","20.29","4.87174","20.29","","","98.8476"
"2026-08-13T12:25:14","SELL","1010.SR","20.24","4.87174","20.29","-0.2436","0","98.604"
